author_name,editor_name
Jim Douglas Jr.,
Richard W. Judy,
Robert W. Clough,
Richard W. Judy,
Robert W. Clough,
Charles Rich,
Richard C. Waters,
Herbert L. Gelernter,
William F. Atchison,
Joanne M. Atlee,
Marsha Chechik,
John D. Gannon,
Richard Dubes,
Anil K. Jain,
Tereza G. Kirner,
Alan M. Davis,
Fiona Walkerden,
D. Ross Jeffery,
Howard E. Tompkins,
Anneliese von Mayrhauser,
A. Marie Vans,
Garret Birkhoff,
Richard S. Varga,
David Young,
Naomi Sager,
Naomi Sager,
Rudy Hirschheim,
Heinz K. Klein,
Gary E. Wittlich,
Eric J. Isaacson,
Jeffrey E. Hass,
Insup Lee,
Noah S. Prywes,
Boleslaw K. Szymanski,
David R. Bennion,
Hewitt D. Crane,
Thomas A. DeFanti,
Donald H. Kraft,
Norman A. Phillips,
Erik Brynjolfsson,
Shinkyu Yang,
Juris Hartmanis,
Janos Simon,
Roy G. Saltman,
Bruce W. Weide,
William F. Ogden,
Stuart H. Zweben,
Jrg Nievergelt,
Eyal Kushilevitz,
Harvey L. Garner,
Paul L. Garvin,
Kenneth J. Thurber,
Marvin V. Zelkowitz,
Chandra S. Amaravadi,
Joey F. George,
Olivia R. Liu Sheng,
Jay F. Nunamaker,
Victor R. Basili,
Amitava Dutta,
Mir Mojtaba Mirsalehi,
Mustafa A. G. Abushagur,
H. John Caulfield,
William C. McGee,
S. Lakshmivarahan,
Sudarshan K. Dhall,
Leslie L. Miller,
Kevin C. O'Kane,
Reed C. Lawlor,
John H. Maier,
Giovanni Maria Sacco,
S. Bing Yao,
Noah S. Prywes,
Ralph Duncan,
Ralph Duncan,
Mikel Olazaran,
Gnther Pernul,
Stephen A. Dyer,
Brian K. Harms,
Larry H. Reeker,
David K. Hsiao,
Richard I. Baum,
Peter Wegner,
Ulf Grenander,
Mohan M. Trivedi,
ChuXin Chen,
Robert C. Gammill,
J. F. Traub,
H. Wozniakowski,
David C. Roberts,
William R. Bozman,
Patrick Suppes,
A. R. Hurson,
Joford T. Lim,
Krishna M. Kavi,
Ben Lee,
A. R. Hurson,
L. L. Miller,
Simin H. Pakzad,
Jia-bing R. Cheng,
Harlan D. Mills,
Mark L. Gillenson,
Nick Cercone,
Gordon I. McCalla,
Thomas B. Steel Jr.,
Kai Hwang,
Shun-Piao Su,
Lionel M. Ni,
Jean E. Sammet,
Jean E. Sammet,
Harry H. Josselson,
N. Nandhakumar,
J. K. Aggarwal,
Arthur L. Samuel,
Kent Norman,
Manfred Kochen,
David I. Heimann,
Nitin Mittal,
Kishor S. Trivedi,
Arnold C. Satterthwait,
Donald Bitzer,
Michael Gemignani,
Peter Lykos,
Alan R. Hevner,
Lawrence Snyder,
H. Dieter Rombach,
Martin Verlage,
Anthony I. Wasserman,
Patricia Fulton,
S. Lakshmivarahan,
Alan F. Westin,
