author_name,editor_name
Wolfgang Schreiner,
Klaus Meer,
Michael Clausen,
Albrecht Fortenbacher,
Friedrich Otto,
Masashi Katsura,
Yuji Kobayashi,
Antonio Montes,
Peter Padawitz,
Claude March,
M. D. Atkinson,
R. A. Hassan,
Vladimir P. Gerdt,
Vladimir V. Kornyak,
Vladimir P. Gerdt,
A. Yu. Zharkov,
Michael Fisher,
Robert Cremanns,
Friedrich Otto,
Robert Cremanns,
Friedrich Otto,
Klaus Lux,
Markus Wiegelmann,
David Hartley,
R. W. Tucker,
David Hartley,
Philip Tuckey,
Hubert Comon,
Hubert Comon,
Pierre Lescanne,
Michal Mnuk,
S. Bandyopadhyay,
John S. Devitt,
W. Nef,
P. M. Schmidt,
Paul H. Knowles,
Paul H. Knowles,
Jon F. Carlson,
B. C. Carlson,
Richard Zippel,
Richard Zippel,
S. B. Conlon,
David Avis,
H. Imai,
C. Jacobsson,
C. Lfwall,
T. Wolf,
A. Brand,
M. Mohammadzadeh,
Reinhard Pichler,
David Pokrass Jacobs,
Francis Buekenhout,
Dimitri Leemans,
Ivan I. Shevchenko,
I. Area,
E. Godoy,
Andr Ronveaux,
A. Zarzo,
Robert Harper,
Harry B. Hunt III,
Richard Edwin Stearns,
Ira M. Gessel,
Ira M. Gessel,
Don Coppersmith,
James H. Davenport,
Don Coppersmith,
Shmuel Winograd,
Abdelilah Kandri-Rody,
Deepak Kapur,
Abdelilah Kandri-Rody,
Volker Weispfenning,
Petru Pau,
Josef Schicho,
Etienne Paul,
E. Paul,
Michael Kohlhase,
Andreas Franke,
Elizabeth W. Rutman,
Elizabeth W. Rutman,
Ho-Fung Leung,
Keith L. Clark,
Hans-Jrgen Brckert,
Alexander Herold,
Manfred Schmidt-Schau,
Neil L. White,
John F. Canny,
Pierangelo Miglioli,
Ugo Moscato,
Mario Ornaghi,
Craig R. Orr,
Doron Zeilberger,
Friedrich Otto,
Sebastian Egner,
Torsten Minkwitz,
Mathias Schulze,
Elisabetta Fortuna,
Patrizia Gianni,
Barry M. Trager,
Ferruccio Orecchia,
Dieter Aschenwald,
Thomas Siegl,
Robert F. Tichy,
Alain Poli,
Edjard Mota,
David Stuart Robertson,
Alan Smaill,
John Shackell,
Laurence Puel,
Gene Cooperman,
Larry Finkelstein,
Michael Tselman,
Bryant W. York,
Fritz Schwarz,
W. W. Adams,
A. K. Boyle,
P. Jara,
J. Jdar,
Bernd Sturmfels,
C. P. Mawata,
A. L. Semjonov,
L. S. Melnikov,
Vladimir A. Evstigneev,
Bram De Jager,
Bram Van Asch,
Ioannis Z. Emiris,
John F. Canny,
Ioannis Z. Emiris,
Bernard Mourrain,
Ioannis Z. Emiris,
Victor Y. Pan,
Teofilo F. Gonzalez,
Si-Qing Zheng,
Mikhail V. Foursov,
Marc Moreno Maza,
M. A. Barkatou,
Ralf Hemmecke,
J. Dixmier,
Daniel Lazard,
Martin L. Sage,
Hiroyuki Sato,
Ralf Treinen,
Marie-Franoise Roy,
A. Szpirglas,
Joeri Engelfriet,
Jan Treur,
J. H. Rieger,
Ronald V. Book,
Jrg H. Siekmann,
Petr Lisonek,
B.-Z. Shen,
Charles C. Sims,
Charles C. Sims,
Charles C. Sims,
William Y. Sit,
Manuel Bronstein,
Wieb Bosma,
Evelyne Contejean,
Anton Leykin,
S. Carmody,
M. Leeming,
R. F. C. Walters,
Alice C. Niemeyer,
A. J. E. Ryba,
A. J. E. Ryba,
Sergei A. Abramov,
Marko Petkovek,
Lajos Rnyai,
David W. Boyd,
John P. Boyd,
Dale Miller,
Lyn J. Miller,
Satish R. Thatte,
R. Bffgen,
M. A. Reichert,
Elie Compoint,
P. Pasini,
F. Semeria,
C. Zannoni,
Jean C. Piquette,
Aziz Hilali,
Michel Coste,
Marie-Franoise Roy,
Maria Paola Bonacina,
Nicolas Peltier,
James Renegar,
James Renegar,
Robert Nieuwenhuis,
Albert Rubio,
Robert Nieuwenhuis,
Albert Rubio,
Jonathan M. D. Hill,
Keith M. Clarke,
Richard Bornat,
Hlne Kirchner,
Christophe Ringeissen,
Domenico Cantone,
Susanna Ghelfo,
Eugenio G. Omodeo,
Mark Giesbrecht,
W. I. Fushchich,
Vladimir V. Kornyak,
Thierry Boy de la Tour,
Andr Ronveaux,
G. Thiry,
N. E. Oussous,
P. Lopez,
Manuel V. Hermenegildo,
Saumya K. Debray,
Frank Lbeck,
Quoc-Nam Tran,
Quoc-Nam Tran,
Carlos Caleiro,
Gunter Saake,
Amlcar Sernadas,
Leonard M. Adleman,
Ming-Deh A. Huang,
Harrison Tsai,
W. A. Beyer,
L. Heller,
Erich Kaltofen,
Erich Kaltofen,
Erich Kaltofen,
Erich Kaltofen,
Shih Ping Tung,
Gnter Landsmann,
Josef Schicho,
Franz Winkler,
Jacques Chazarain,
Agustn Riscos Gonzles,
Jos Antonio Alonso Jimenez,
Emilio Briales Morales,
John Carminati,
Khai Vu,
Michael Pohst,
Istvn Nemes,
Marko Petkovsek,
Todd Torgersen,
Montserrat Vela,
Miki Hermann,
Phokion G. Kolaitis,
Guoting Chen,
Jean Della Dora,
Toshinori Oaku,
Nobuki Takayama,
Uli Walther,
Abdelwaheb Ayari,
David A. Basin,
Christopher W. Brown,
Dinesh Manocha,
Guy Viry,
Patrick Viry,
Bernard Mourrain,
Olivier Ruatta,
W. L. Roque,
R. P. Dos Santos,
Dongming Wang,
Paul S. Wang,
D. Wang,
Dongming Wang,
Xiangdong Wang,
Paul S. Wang,
Dongming Wang,
Dongming Wang,
Thierry Coquand,
Grard P. Huet,
Robert L. Griess Jr.,
A. J. E. Ryba,
Ketan Mulmuley,
Grigori Mints,
Enn Tyugu,
R. G. Cowell,
Alfonso Miola,
Teo Mora,
Manuel Bronstein,
K. B. Wolf,
G. Krtzsch,
Herbert S. Wilf,
M'hammed El Kahoui,
Andreas Weber,
Ivo Dntsch,
Daniel Lazard,
Daniel Lazard,
Renaud Rioboo,
Michela Brundu,
Fabio Rossi,
Ulla Koppenhagen,
Ernst W. Mayr,
Ulla Koppenhagen,
Ernst W. Mayr,
Torsten Minkwitz,
Thomas Wolf,
Thomas Wolf,
James H. Davenport,
Joos Heintz,
David Casperson,
David Ford,
John McKay,
B. Heinrich Matzat,
Andreas Zeh-Marschke,
Reinhard C. Laubenbacher,
Irena Swanson,
R. T. Curtis,
Z. Hasan,
Hubert Caprasse,
Alexei Yu Uteshev,
Timofei M. Cherkasov,
Alfred Widiger,
Lu Yang,
Wolfgang Schreiner,
Ignacio Ojeda Martnez de Castilla,
Ramn Peidra Snchez,
H. Michael Mller,
Ralf Tenberg,
Roberto Pirastu,
Volker Strehl,
Andrea Formisano,
Eugenio G. Omodeo,
Marco Temperini,
J. Stuart Aitken,
Philip D. Gray,
Thomas F. Melham,
Muffy Thomas,
P. Bikker,
Alexei Yu. Uteshev,
Stphane Dalmas,
Marc Gatano,
Alain Sausse,
Dimitrios Poulakis,
Evaggelos Voskos,
Dimitrios Poulakis,
Evaggelos Voskos,
Zhenyu Qian,
Kang Wang,
Robert A. Wilson,
Robert A. Wilson,
Nicolas Robidoux,
Denis Lugiez,
Philip Feinsilver,
Ren Schott,
Katharina Geissler,
Jrgen Klners,
Rolf Backofen,
Jan Snellman,
John Shackell,
Bruno Salvy,
Edmund F. Robertson,
W. Sarlet,
J. Van den Bonne,
B. Heinrich Matzat,
John McKay,
Kazuhiro Yokoyama,
Steven Fortune,
Masako Takahashi,
Mama Foupouagnigni,
M. Norbert Hounkonnou,
Andr Ronveaux,
F. du Cloux,
Nachum Dershowitz,
Yuh-Jeng Lee,
Nachum Dershowitz,
Uday S. Reddy,
T. Sasaki,
M. Suzuki,
Laurence Puel,
Ascnder Surez,
Yukihide Takayama,
Nobuki Takayama,
Yukihide Takayama,
Nobuki Takayama,
Alessandro Armando,
Tudor Jebelean,
Wolmer V. Vasconcelos,
Moshe Eisenberger,
Wolfram Bttner,
Helmut Simonis,
Reinhard C. Laubenbacher,
Karen Schlauch,
Alan L. Schwartz,
Stefan Kahrs,
Franck Aries,
Rachid Senoussi,
Dima Grigoriev,
Ulrich Furbach,
Steffen Hlldobler,
Jrg H. Siekmann,
F. Leon Pritchard,
W. W. Adams,
A. Boyle,
Philippe Loustaunau,
Arie van Deursen,
Paul Klint,
Frank Tip,
Patrizia M. Gianni,
Barry M. Trager,
Gail Zacharias,
Istvn Gal,
Attila Peth,
Michael Pohst,
Kim S. Larsen,
Michael I. Schwartzbach,
Chandrabose Aravindan,
Peter Baumgartner,
Deepak Kapur,
Bernd Sturmfels,
Walter Whiteley,
K. Kalorkoti,
K. Kalorkoti,
Stanley J. Watowich,
Jeffery L. Krause,
R. Stephen Berry,
Gerhard Hiss,
Klaus Lux,
Jrgen Mller,
Lorenzo Robbiano,
Franz Aurenhammer,
Elizabeth L. Mansfield,
Peter A. Clarkson,
Franz Baader,
P. A. Hendricks,
Michael F. Singer,
Jon F. Carlson,
Edward L. Green,
Gerhard J. A. Schnieder,
Emmanuel Hallouin,
Beatrice Amrhein,
Oliver Gloor,
Roman Maeder,
Daniel J. Dougherty,
Patricia Johann,
Martin Wursthorn,
Harvey Cohn,
Jesse Ira Deutsch,
Pedro J. Martn,
Antonio Gavilanes,
Javier Leach,
Joe Buhler,
Richard Crandall,
Reijo Ernvall,
Tauno Metsnkyl,
Mohammad Amin Shokrollahi,
Richard Cole,
Micha Sharir,
Gordon F. Royle,
Cheryl E. Praeger,
Gerhard O. Michler,
Gerhard O. Michler,
Michael Clausen,
Hubert Comon,
Philippe Clauss,
Catherine Mongenet,
Tatiana Gateva-Ivanova,
Victor Latyshev,
Laurent Fribourg,
Andre Hillebrand,
Wiland Schmale,
Ilaria Del Corso,
Andrea Lucchini,
Federico Menegazzo,
Michel Dehon,
David Cox,
Ronald N. Goldman,
Ming Zhang,
Izumi Miyamoto,
Amnon Rosenmann,
Carsten Eckhardt,
Manuel Bronstein,
Manuel Bronstein,
Manuel Bronstein,
Walter Whiteley,
Alex Kean,
George K. Tsiknis,
Alex Kean,
George K. Tsiknis,
Ph. Tombal,
A. Moussiaux,
Ph. Tombal,
A. Moussiaux,
Eugene M. Luks,
Ferenc Rakoczi,
Charles R. B. Wright,
Marc Garbey,
H. G. Kaper,
G. K. Leaf,
B. J. Matkowsky,
Alyson Reeves,
Bernd Sturmfels,
Massimo Caboara,
Eva Riccomagno,
Andreas Weiermann,
Olga Caprotti,
Arjeh M. Cohen,
Olga Caprotti,
Martijn Oostdijk,
H. M. M. Ten Eikelder,
J. C. F. Wilmont,
Gregor Kemper,
Elena Mattig,
Gretchen Ostheimer,
Henry Crapo,
W. Plesken,
Sabine Stifter,
Gnter Czichowski,
Alexander Ollongren,
Claus-Peter Wirth,
Bernhard Gramlich,
Janusz Konieczny,
R. B. Howlett,
L. J. Rylands,
D. E. Taylor,
Mario Daberkow,
Mario Daberkow,
Eugenio G. Omodeo,
Franco Parlamento,
Alberto Policriti,
Erik Tidn,
Stefan Arnborg,
Pierre Lescanne,
Celia Wrathall,
Scott McCallum,
Scott McCallum,
Scott McCallum,
Richard Statman,
Christine Paulin-Mohring,
Benjamin Werner,
Sarah Rees,
Leonard H. Soicher,
F. Aroca,
J. Cano,
Jean-Jacques Risler,
Ryutaroh Matsumoto,
Dennis S. Arnon,
Raya Khanin,
Matthew Cartmell,
Dennis S. Arnon,
Scott McCallum,
Miguel A. Borges-Trenard,
Mijail Borges-Quintana,
Teo Mora,
B. Kutzler,
Sabine Stifter,
B. Curtis Eaves,
Uriel G. Rothblum,
Marc Giusti,
Klemens Hgele,
Grgoire Lecerf,
Jol Marchand,
Bruno Salvy,
Irvin Roy Hentzel,
David Pokrass Jacobs,
Sekhar V. Muddana,
Richard Pavelle,
Paul S. Wang,
Isaac Elishakoff,
Jean-Raymond Gagn,
John Plaice,
George Havas,
M. F. Newman,
M. R. Vaughan-Lee,
Ioannis Z. Emiris,
Victor Y. Pan,
Yanqiang Yu,
W. Herfort,
H. Penz,
E. S. Cheb-Terrab,
A. D. Roche,
Jos Meseguer,
Joseph A. Goguen,
D. A. Diver,
Michael B. Monagan,
Michael B. Monagan,
W. Plesken,
Bernd Souvignier,
Ralph Freese,
Jaroslav Jezek,
J. B. Nation,
Heinrich Rolletschek,
Heinrich Rolletschek,
Michael F. Singer,
Felix Ulmer,
Maurice Mignotte,
Maurice Mignotte,
Gert Almkvist,
Doron Zeilberger,
Bernhard Beckermann,
George Labahn,
L. Cerlienco,
Maurice Mignotte,
F. Piras,
Patrick Fitzpatrick,
Peter Dorato,
Wei Yang,
Chaouki Abdallah,
A. Kerber,
A. Kohnert,
A. Lascoux,
James Renegar,
Chandrajit L. Bajaj,
Guoliang Xu,
Andreas Dolzmann,
Thomas Sturm,
J. P. Bennett,
M. Grinfeld,
J. Hubble,
John Pedersen,
Margaret Yoder,
James H. Davenport,
James H. Davenport,
Sergey Bratus,
Igor Pak,
M. A. Barkatou,
Eckhard Pflgel,
Petr Lisonek,
Peter Paule,
Volker Strehl,
Jerald J. Kovacic,
Gary L. Ebert,
Gregor Kemper,
Gregor Kemper,
Sorin Stratulat,
Thomas J. Myers,
Maya Gokhale,
Shuhong Gao,
Joachim von zur Gathen,
Daniel Panario,
Victor Shoup,
L. Lambe,
Amy P. Felty,
Laurent Thry,
Kioshi Shirayanagi,
Moss Sweedler,
Jan Willem Klop,
Aart Middeldorp,
Jean-Louis Lassez,
Ken McAloon,
Susan Landau,
Douglas A. Young,
Paul S. Wang,
Gianna Cioni,
Attilio Colagrossi,
Alfonso Miola,
Herbert Edelsbrunner,
Franco P. Preparata,
Douglas B. West,
Jean Marc Couveignes,
D. J. Broadhurst,
D. Kreimer,
Laurent Bus,
Mohamed Elkadi,
Bernard Mourrain,
Serge Burckel,
Harald Bing,
Wolfram Koepf,
Miguel Filgueiras,
Ana Paula Toms,
Steven G. Krantz,
William H. Paulsen,
Stanley Burris,
D. Richardson,
J. Richardson,
Daniel Richardson,
Norbert Kajler,
Neil Soiffer,
Bruno Salvy,
R. J. Yamartino,
Richard Pavelle,
Jacek Gibert,
Frdric Chyzak,
Bruno Salvy,
John Cremona,
Wolfram Koepf,
Wolfram Koepf,
Laureano Gonzlez-Vega,
Neila Gonzalez-Campos,
Jiang Qian Ying,
Li Xu,
Zhiping Lin,
Taisuke Sato,
Hisao Tamaki,
Nicola Rizzi,
Amabile Tatone,
Holger W. Gollan,
Deepak Kapur,
David R. Musser,
Paliath Narendran,
Deepak Kapur,
Paliath Narendran,
Hantao Zhang,
Gregory Butler,
Gregory Butler,
Gregory Butler,
Jeffrey Shallit,
Jonathan Sorenson,
Catherine Lassez,
Ken McAloon,
Graeme S. Port,
Amelia Taylor,
Wolfgang Bibel,
K. Aspetsberger,
B. M. Brown,
Michael S. P. Eastham,
D. K. R. McCormack,
Arne Ledet,
Delma J. Hebert,
Greg Sidebottom,
Anthony C. Hearn,
Eberhard Schrfer,
Jrn Mller-Quade,
Rainer Steinwandt,
Jrn Mller-Quade,
Rainer Steinwandt,
Vincent Prosper,
Jean H. Gallier,
Franois Arnault,
Frank G. Garvan,
Gaston H. Gonnet,
Luis Dieulefait,
Nria Vila,
Paris C. Kanellakis,
Peter Z. Revesz,
Piotr Rudnicki,
Christoph Schwarzweller,
Andrzej Trybulec,
Pierre Flener,
Yves Deville,
Giovanni Cesari,
Roman Maeder,
Leo Bachmair,
Nachum Dershowitz,
Leo Bachmair,
David A. Plaisted,
Takeshi Shimoyama,
Kazuhiro Yokoyama,
William M. Farmer,
Joshua D. Guttman,
F. Javier Thayer,
Katia Gladitz,
Herbert Kuchen,
Robert M. Corless,
David J. Jeffrey,
Michael B. Monagan,
Pratibha,
Ricardo Caferra,
Michel Herment,
Ricardo Caferra,
Nicolas Peltier,
Ricardo Caferra,
Nicolas Zabel,
J. Maurice Rojas,
Michal Rusinowitch,
Michal Rusinowitch,
Murray R. Bremner,
Irvin Roy Hentzel,
Alexander Levin,
Alexander Levin,
Jordi Levy,
Jaume Agust-Cullell,
Habib Abdulrab,
Jean-Pierre Pcuchet,
Felix Ulmer,
Jacques-Arthur Weil,
S. A. Linton,
Takaji Umeno,
Syuichi Yamashita,
Osami Saito,
Kenichi Abe,
Hans W. Scholten,
Mark H. Overmars,
Nimrod Megiddo,
Alexandre Sedoglavic,
Laura Felicia Matusevich,
P. Beckman,
J. Stckrad,
Bettina Eick,
Charles R. B. Wright,
Gordon F. Royle,
Jrg Nievergelt,
Uwe Petermann,
Harald Niederreiter,
Rainer Gttfert,
Gerald Weber,
Lars Knipping,
Aelmut Helmut,
Gerardo Lafferriere,
George J. Pappas,
Sergio Yovine,
John R. Stembridge,
David Eisenbud,
Mircea Mustala,
Michael Stillman,
Sharon Brueggeman,
G. Bjrck,
G. Frberg,
Georg M. Reinhart,
Laureano Gonzlez-Vega,
Laureano Gonzlez-Vega,
John J. Cannon,
Bruce C. Cox,
Derek F. Holt,
John J. Cannon,
Bruce C. Cox,
Derek F. Holt,
Mark van Hoeij,
Jean-Franois Ragot,
Felix Ulmer,
Jacques-Arthur Weil,
Frank G. Garvan,
Thomas Eiter,
Lars Langemyr,
Scott McCallum,
John J. Cannon,
Derek F. Holt,
John J. Cannon,
Catherine Playoust,
Serkan Hosten,
Jay Shapiro,
Shawna Meyer Eikenberry,
Jonathan Sorenson,
Andr Ronveaux,
A. Zarzo,
I. Area,
E. Godoy,
Burkhard Hfling,
Charles F. Dunkl,
S. P. Glasby,
S. P. Glasby,
Michael C. Slattery,
Joachim von zur Gathen,
Joachim von zur Gathen,
Martin Peternell,
Helmut Pottmann,
Gema M. Diaz-Toca,
Laureano Gonzlez-Vega,
Dominique Duval,
Stephen R. Czapor,
Johannes Buchmann,
Hugh C. Williams,
Xuan Zhao,
Haibao Duan,
Hantao Zhang,
L. Zhang,
Hantao Zhang,
Jun Zhang,
Marian Mrozek,
Dima Grigoriev,
Nicolai Vorobjov,
Franois Fages,
A. Kohnert,
R. A. Parker,
Robert A. Wilson,
Birkett Huber,
Frank Sottile,
Bernd Sturmfels,
Victor Shoup,
Victor Shoup,
Robert M. Corless,
David J. Jeffrey,
Robert M. Corless,
David J. Jeffrey,
M. Fourni,
J.-Ph. Furter,
D. Pinchon,
Cassiano Durand,
Christoph M. Hoffmann,
Scott McCallum,
George E. Collins,
Pedro Berrizbeitia,
T. G. Berry,
E. V. Krishnamurthy,
Lihong Zhi,
Wenda Wu,
Klaus Madlener,
Friedrich Otto,
Klaus Madlener,
Friedrich Otto,
Klaus Madlener,
Birgit Reinert,
Andrej Bauer,
Marko Petkovek,
Toms Recio,
Manfred Kerber,
Toms Recio,
J. Rafael Sendra,
Manfred Schmidt-Schau,
Charles C. Sims,
Andrea Sattler-Klein,
Nestor E. Sanchez,
George E. Collins,
George E. Collins,
Hans-Jrgen Brckert,
Mario Daberkow,
Claus Fieker,
Jrgen Klners,
Michael Pohst,
K. Roegner,
M. Schrnig,
K. Wildanger,
Ruth Shtokhamer,
Franois Bergeron,
N. Bergeron,
Osami Yamamoto,
D. E. G. Malm,
T. N. Subramaniam,
Gunter Malle,
Gunter Malle,
Wieb Bosma,
Bart de Smit,
Jrgen Avenhaus,
Man Kam Kwon,
Mary Beth Dever,
Tony Shaska,
Sbastien Veigneau,
David Bebbington,
Manfred Gbel,
Reinhard Bndgen,
Manfred Gbel,
Wolfgang Kchlin,
Nigel Boston,
Helen Lowe,
Alan Bundy,
Duncan McLean,
Peter Drxler,
Wolfgang Hirschberg,
Dieter Schramm,
Joachim von zur Gathen,
Joachim von zur Gathen,
Stefan Ratschan,
Attila Peth,
Robert F. Tichy,
Joachim von zur Gathen,
Mark Giesbrecht,
Joachim von zur Gathen,
Silke Hartlieb,
Joachim von zur Gathen,
Daniel Panario,
Joachim von zur Gathen,
Jrgen Weiss,
Denis Lugiez,
J. L. Moysset,
Alexandre Boudet,
Daniel Lazard,
Daniel Lazard,
Daniel Lazard,
Franz Binder,
Peter Mayr,
Graziano Gentili,
Michael A. O'Connor,
Graziano Gentili,
Michael A. O'Connor,
Gerard Lallement,
R. McFadden,
Jesse Ira Deutsch,
Nachum Dershowitz,
Dieter Armbruster,
Heinz Kredel,
Nigel P. Smart,
Jieh Hsiang,
Alyson Reeves,
Jaime Gutierrez,
Rosario Rubio,
David Sevilla,
Peter Baumgartner,
Ulrich Furbach,
M. Sofroniou,
M. Sofroniou,
Maylis Delest,
Jean-Philippe Dubernard,
I. Dutour,
Eric Domenjoud,
Martin von Mohrenschildt,
Rolf Socher,
Peter A. Hendriks,
Marius van der Put,
Gregory G. Smith,
David Andrew Smith,
Douglas R. Smith,
Danny De Schreye,
Maurice Bruynooghe,
David Bayer,
Ian Morrison,
David Bayer,
Michael Stillman,
David Bayer,
Michael Stillman,
Andr Weilert,
S. A. Linton,
Giuseppa Carr Ferro,
Massimo Marchiori,
Edward L. Green,
Lenwood S. Heath,
Craig A. Struble,
Takis Sakkalis,
Rida T. Farouki,
Jean-Jacques Risler,
F. Ronga,
Irne Durand,
Volker Strehl,
Herbert S. Wilf,
Michael Dettweiler,
Stefan Reiter,
Aloysius G. Helminck,
Aloysius G. Helminck,
Matthias Fuchs,
Peter A. Hendriks,
Angela Sodan,
David J. Jeffrey,
David R. Barton,
Richard Zippel,
Max Dauchet,
Anne-Ccile Caron,
Jean-Luc Coquid,
Mehmet A. Orgun,
Anthony A. Faustini,
F. Brackx,
Denis Constales,
Andr Ronveaux,
H. Serras,
Gary J. Sherman,
Stanley Burris,
John Lawrence,
Werner Nutt,
Pierre Rty,
Gert Smolka,
Frank Lippok,
Paliath Narendran,
Colm 'Dnlaing,
Philippe Aubry,
Marc Moreno Maza,
Philippe Aubry,
Annick Valibouze,
D. Richardson,
Eng-Wee Chionh,
Ming Zhang,
Ronald N. Goldman,
D. M. Klimov,
V. V. Leonov,
V. M. Rudenko,
Ryutaroh Matsumoto,
Shinji Miura,
Thom W. Frhwirth,
Thomas W. Sederberg,
Ron Goldman,
Hang Du,
Adel Bouhoula,
M. L. Dudley,
R. W. James,
Dennis S. Arnon,
George E. Collins,
Scott McCallum,
Vladimir P. Gerdt,
A. B. Shvachka,
A. Yu. Zharkov,
Dennis S. Arnon,
Maurice Mignotte,
V. P. Gusynin,
Vladimir V. Kornyak,
B. F. Caviness,
B. F. Caviness,
Jrgen Klners,
Jrgen Klners,
Jean-Marc Champarnaud,
Georges Hansel,
Arno van den Essen,
Edlyn Teske,
Carlos D'Andrea,
Bernard Chazelle,
Herbert Edelsbrunner,
Bernard Chazelle,
Micha Sharir,
Philippe Flajolet,
Bruno Salvy,
Hirokazu Murao,
Hidetsune Kobayashi,
Tetsuro Fujise,
Elie Compoint,
Michael F. Singer,
P. J. Cameron,
John J. Cannon,
Werner Krandick,
Tudor Jebelean,
John Fitch,
K Sakai,
Akira Aiba,
George Fix,
Chih-Ping Hsu,
Tie Luo,
Ian G. Lisle,
Gregory J. Reid,
Shojiro Sakata,
Christoph M. Hoffman,
Andrew Lomonosov,
Meera Sitharam,
Jean-Pierre Merlet,
M. F. Newman,
Werner Nickel,
Alice C. Niemeyer,
C. Krattenthaler,
R. D. Mills,
R. D. Mills,
Harry S. D. Mills,
Ritu Chadha,
David A. Plaisted,
Maurice Mignotte,
Philippe H. Glesser,
Kazuhiro Yokoyama,
Masayuki Noro,
Taku Takeshima,
Kazuhiro Yokoyama,
Masayuki Noro,
Taku Takeshima,
Kazuhiro Yokoyama,
Masayuki Noro,
Taku Takeshima,
Jean-Camille Birget,
Emo Welzl,
Barbara Wolfers,
Istvn Gal,
Istvn Gal,
Michael Pohst,
R. C. Churchill,
M. Kummer,
Susumu Yamasaki,
Kentaro Iida,
Vincenzo Acciaro,
Claus Fieker,
Vincenzo Acciaro,
Jrgen Klners,
Emmanuel Thom,
Maria Paola Bonacina,
Jieh Hsiang,
Leon Sterling,
Alan Bundy,
Lawrence Byrd,
Richard A. O'Keefe,
Bernard Silvers,
Allan Steel,
Stphane Collart,
Michael Kalkbrener,
Daniel Mall,
Paolo Di Blasio,
Marco Temperini,
Tangan Gao,
T. Y. Li,
Xiaoshen Wang,
Herbert Edelsbrunner,
Roman Waupotitsch,
Klaus Lux,
Jrgen Mller,
Michael Ringe,
Dan Benanav,
Deepak Kapur,
Paliath Narendran,
Clemens Heuberger,
Raphael Nauheim,
Bruno Salvy,
John Shackell,
Bruno Salvy,
John Shackell,
Patrick Lincoln,
Jim Christian,
N. Vira,
T. Gill,
E. Tunstel,
Miguel Navarro-Saad,
Kurt Bernardo Wolf,
Alberto Policriti,
Jacob T. Schwartz,
Thomas Sturm,
Hidetsune Kobayashi,
Tetsuro Fujise,
Akio Furukawa,
Hidetsune Kobayashi,
Shuichi Moritsugu,
Robert W. Hogan,
Thomas Lickteig,
Marie-Franoise Roy,
Franz Winkler,
Marc Giusti,
A. C. Norman,
C. M. Andersen,
J. F. Geer,
J. F. Ogilvie,
R. H. Tipping,
Philip S. Santas,
Jrg Denzinger,
Stephan Schulz,
H. A. Priestley,
M. P. Ward,
Renato P. Dos Santos,
Simon Norton,
Graham H. Norton,
Graham H. Norton,
Graham H. Norton,
Luca Gemignani,
Bruce W. Char,
Gregory J. Fee,
Keith O. Geddes,
Gaston H. Gonnet,
Michael B. Monagan,
M. H. Mathieu,
D. Ford,
Penny Anderson,
David A. Basin,
Gerhard J. A. Schneider,
Richard Kennaway,
Jan Willem Klop,
M. Ronan Sleep,
Fer-Jan de Vries,
Alain Laville,
H. G. Folz,
Horst Gnter Zimmer,
Peter W. O'Hearn,
Zbigniew Stachniak,
Giuseppe Attardi,
Tito Flagella,
Giuseppe Attardi,
Carlo Traverso,
Nicolai Vorobjov,
Nicolai Vorobjov,
D. Berque,
R. Cecchini,
Marc Goldberg,
R. Rivenburgh,
George E. Andrews,
Jon Jones,
N. P. Karampetakis,
A. C. Pugh,
Christopher Lynch,
Wayne Snyder,
Angel Daz,
Markus A. Hitz,
Erich Kaltofen,
A. Lobo,
T. Valente,
Andreas Werner,
Hubert Comon,
Denis Lugiez,
Ph. Schnoebelen,
Willem A. de Graaf,
Werner Nickel,
Jonathan Traugott,
Philippe Aubry,
Daniel Lazard,
Marc Moreno Maza,
Ralf Frberg,
Joachim Hollman,
Hans Zantema,
Hans Zantema,
Jochen Drre,
William C. Rounds,
Alfons Geser,
Koenraad De Bosschere,
Jean-Marie Jacquet,
Teo Mora,
Lorenzo Robbiano,
Bruno Buchberger,
E. A. O'Brien,
E. A. O'Brien,
E. A. O'Brien,
Uli Walther,
Richard A. Davies,
Jacob T. Schwartz,
Micha Sharir,
Marilena Pittaluga,
Elisabetta Strickland,
Eyal Mozes,
Gilbert Labelle,
Gilbert Labelle,
Simon Gray,
Norbert Kajler,
Paul S. Wang,
G. C. Nielsen,
M. O. McLinden,
G. Morrison,
Amr F. Fahmy,
Alan W. Biermann,
Aart Middeldorp,
Satoshi Okui,
Aart Middeldorp,
Yoshihito Toyama,
S. A. Vorontsov,
Yuichi Kaji,
Toru Fujiwara,
Tadao Kasami,
nal Gktas,
Willy Hereman,
David Shannon,
Moss Sweedler,
Marko Petkovsek,
Manfred Minimair,
S. A. Linton,
G. Pfeiffer,
Edmund F. Robertson,
Nikola Ruskuc,
Ronald D. Dutton,
Robert C. Brigham,
Fernando Gomez,
Carl Trindle,
Boo Barkee,
Deh Cac Can,
Julia Ecks,
Theo Moriarty,
R. F. Ree,
Ming-Deh A. Huang,
Doug Ierardi,
Ming-Deh A. Huang,
Doug Ierardi,
Henk Barendregt,
Arjeh M. Cohen,
Jianmin Zheng,
Thomas W. Sederberg,
Evelyne Hubert,
Evelyne Hubert,
Alexander Schiemann,
Graham H. Norton,
Jonas Mnsson,
Patrik Nordbeck,
Dima Grigoriev,
Daniel J. Bernstein,
S. M. Hermiller,
X. H. Kramer,
